outcome,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10
0,B,0.4390,B,C,D,1.09667,B,E,93.26164,P
0,B,0.0401,C,B,C,9.60237,B,B,19.74950,G
1,B,0.0530,A,B,A,6.20934,F,H,90.76410,E
0,B,0.6479,A,B,A,9.55106,E,B,11.87147,P
0,B,0.0378,A,B,A,4.14540,D,F,13.70344,Q
0,B,0.6944,A,B,A,7.52270,E,E,57.43421,B
1,A,0.2719,A,A,B,8.37343,C,A,13.33835,D
0,A,0.1536,C,B,C,4.42271,F,B,37.02541,F
0,A,0.4819,B,B,A,7.76736,E,B,82.98829,D
0,B,0.0507,D,B,A,7.93936,B,E,28.40467,Q
0,B,0.2435,B,B,C,3.29418,E,B,81.61901,A
1,B,0.8656,C,A,B,5.59488,B,E,54.18722,F
0,A,0.9329,A,A,A,4.83417,C,C,27.97979,Q
0,B,0.6709,D,B,A,9.42451,B,F,77.39513,Q
0,B,0.5082,C,A,A,4.50989,D,J,81.04593,N
1,A,0.3102,A,B,C,4.51031,C,I,66.20955,C
0,A,0.3441,A,B,E,7.60024,D,I,29.09704,G
1,B,0.9401,B,B,A,5.64584,A,D,40.27789,K
0,B,0.2203,B,B,A,2.06799,D,B,13.24956,T
0,A,0.8655,A,A,A,5.80312,F,I,5.972317,J
1,A,0.9925,A,A,A,9.26509,E,E,50.75100,R
1,B,0.0212,B,C,C,0.27705,B,C,61.28536,M
0,A,0.9545,C,B,A,4.27079,C,B,38.71023,B
0,B,0.4862,A,A,C,0.16659,B,B,3.224986,H
0,A,0.2040,D,A,C,4.38674,B,B,41.38623,Q
1,B,0.1284,A,B,E,1.15907,D,D,99.41430,D
1,A,0.9294,C,B,A,6.46769,C,H,49.99972,I
0,A,0.3538,D,A,C,6.78614,A,E,72.29577,G
1,B,0.1151,A,A,A,7.15877,E,F,1.109289,Q
0,A,0.9789,D,C,D,7.50056,C,H,91.92641,L
0,B,0.7564,B,B,E,7.58207,C,E,92.47241,H
0,A,0.5296,B,C,B,8.59261,B,C,72.22966,G
0,A,0.0367,B,B,A,1.37924,B,F,85.34004,K
1,B,0.8197,D,A,E,0.16095,A,B,45.31091,D
0,B,0.8487,C,A,C,4.01200,C,C,95.84782,Q
0,B,0.1009,B,C,B,6.00514,E,E,56.77123,Q
0,A,0.4701,B,B,D,0.48515,C,B,70.08488,B
0,A,0.5657,D,B,E,7.82933,B,E,99.79831,S
1,A,0.1410,A,B,B,3.20932,F,I,48.67896,H
1,B,0.6586,A,B,A,0.28161,B,J,91.25006,J
1,B,0.8442,D,B,E,5.33466,F,B,64.91045,C
0,A,0.6042,B,B,A,1.92465,D,D,29.37354,D
0,B,0.8898,A,B,A,5.50181,A,I,39.19213,J
0,B,0.0551,D,C,C,5.15820,F,C,46.98468,L
1,B,0.7426,C,B,A,1.09785,E,D,11.42731,H
1,A,0.4334,B,B,C,2.01655,D,E,92.23449,K
0,A,0.7163,C,A,A,1.92512,D,G,55.10550,P
0,A,0.8092,C,B,A,2.75667,E,A,77.68437,D
0,A,0.3805,B,B,E,6.76777,C,E,69.67797,C
1,B,0.3985,A,C,C,8.92337,D,E,65.57349,T
1,B,0.2178,C,A,A,6.40843,D,I,30.02285,G
1,A,0.7464,D,B,A,2.69259,B,G,19.28677,S
1,A,0.7157,A,B,E,9.72794,E,B,14.33061,M
0,B,0.3405,D,B,C,6.74265,F,I,64.49017,J
1,B,0.4365,A,B,C,0.57842,C,G,48.00920,M
1,B,0.1267,B,B,D,7.31742,C,C,35.01364,O
0,A,0.4786,A,B,D,9.97494,C,F,63.79636,D
1,B,0.8532,C,B,B,3.48959,D,B,44.12503,Q
1,B,0.5679,C,A,A,7.55388,C,B,86.20059,Q
1,B,0.6982,A,A,A,6.80563,E,B,53.73142,I
0,A,0.6742,A,A,C,2.50813,E,B,41.38246,S
0,B,0.0286,B,A,A,3.44846,E,I,27.06602,M
1,B,0.7081,C,B,C,5.59065,D,H,4.479170,S
1,A,0.3559,B,A,A,9.76300,D,B,32.00940,K
0,B,0.9426,B,A,E,5.76821,D,D,18.72258,G
1,A,0.0030,A,B,A,7.05627,B,D,52.83880,N
1,B,0.6966,A,B,A,5.00811,E,B,80.03692,J
0,B,0.5254,C,B,D,1.14827,A,H,5.246200,M
0,B,0.8187,A,B,E,0.77354,D,F,1.998917,L
0,A,0.4531,A,B,A,6.51453,A,G,87.45824,S
0,A,0.3766,C,B,A,0.75509,F,J,76.87691,S
0,B,0.0612,D,B,A,4.33104,B,B,59.59845,F
1,B,0.9328,A,C,E,5.13046,C,I,47.41305,O
1,B,0.3891,A,B,A,4.52876,F,B,98.93442,J
0,A,0.0054,B,A,C,0.53281,A,B,3.248037,K
1,B,0.3464,A,B,C,9.41666,B,H,68.93952,J
0,B,0.5123,A,B,B,6.99476,C,F,85.87676,G
1,A,0.4844,C,A,E,9.68995,F,G,88.94090,F
0,A,0.7493,B,B,D,5.79145,D,H,18.56799,R
0,A,0.8359,C,B,E,3.97019,F,G,23.84214,N
1,A,0.9415,B,B,A,7.20499,A,E,56.81353,P
1,B,0.0821,C,B,A,5.18968,B,G,89.85860,H
1,B,0.2931,A,A,A,6.88194,A,A,75.86379,C
1,B,0.2231,D,A,E,5.33803,D,D,7.623614,I
1,B,0.2672,D,A,E,2.87806,B,D,34.91514,R
1,A,0.4597,D,B,A,7.33752,F,E,41.65918,H
